1 50 0
2 50 0
3 50 0
4 50 0
5 50 0
6 50 0
7 50 0
8 50 0
9 50 0
10 59.52 2.5
11 62.3784 3.7
12 64.9381 11.3
13 66.2336 21.4
14 66.4643 22.4
15 69.9914 46.7
16 72.8451 53.6
17 74.6785 70.6
18 75.3076 68.6
19 77.5169 77
20 78.8929 83.1
21 79.2969 74.1
22 80.4832 83.2
23 80.958 83.3
24 82.7093 82.9
25 83.1911 89.5
26 83.5951 93.6
27 89.5449 96.9
28 92.6842 97.2
29 94.0724 84.2
30 94.104 82.7
31 94.2044 91
32 96.13 94.6
33 96.2318 88
34 97.1185 86.9
35 97.7216 97
36 97.9843 89.2
37 98.9425 97.4
38 99.2474 95.4
39 100.228 93.8
40 100.566 93.1
41 101.088 94.2
42 101.48 98.1
43 101.493 92.9
44 101.583 97.7
45 101.751 96.2
46 101.992 90.4
47 102.704 93.9
48 103.16 94.3
49 103.542 95.4
50 103.857 93.2
51 104.282 96.4
52 104.399 89.2
53 104.615 97.3
54 104.773 99.7
55 104.786 92.9
56 104.893 97.3
57 104.909 94.9
58 105.39 94.5
59 105.533 98.6
60 105.613 99.4
61 105.764 93.9
62 105.799 98
63 105.912 93.9
64 105.916 95.8
65 106.207 99.9
66 106.209 99.4
67 106.255 91.4
68 106.29 95.2
69 106.307 98.3
70 106.319 98.5
71 106.358 98.9
72 106.367 100
73 106.398 97
74 106.418 93.1
75 106.619 99.3
76 106.634 97.1
77 106.667 97.6
78 106.688 100
79 106.815 99.9
80 106.848 98.6
81 106.856 99.2
82 107.04 99.8
83 107.132 99.1
84 107.139 99.4
85 107.147 99.1
86 107.15 99.6
87 107.154 98.4
88 107.219 99.6
89 107.272 98.4
90 107.392 99.5
