27-91 3.093750 3.000000 1 6 1.502277 23.4783
127-109 3.725589 4.000000 1 9 1.730724 29.3333
75-115 3.638629 4.000000 1 9 1.594462 39.2857
83-105 3.534483 3.500000 1 9 1.499604 41.3333
69-59 3.530675 4.000000 1 6 1.504791 51.5021
27-95 1.000000 1.000000 1 1 0.000000 51.7391
143-177 3.305882 3.000000 1 7 1.655817 54.7085
131-153 2.863330 3.000000 1 14 1.751829 58.0357
75-143 3.514365 4.000000 1 8 1.629640 58.0357
69-137 3.345663 4.000000 1 6 1.476571 60.2679
63-83 3.443631 4.000000 1 10 1.650493 61.3043
75-141 3.548387 4.000000 1 7 1.676954 62.5
123-101 2.652695 2.500000 1 6 1.328761 62.5551
45-103 3.352477 4.000000 1 8 1.500253 62.6667
59-95 3.108728 3.000000 1 11 1.653352 63.0435
103-101 1.997710 2.000000 1 7 1.150835 64.7577
177-101 2.641572 2.000000 1 9 1.494270 66.9604
67-59 3.230728 3.000000 1 8 1.510413 67.382
109-101 1.939061 2.000000 1 7 1.060062 68.7225
5-69 3.436455 4.000000 1 9 1.491693 68.8312
123-91 1.279006 1.000000 1 4 0.517165 70
27-101 2.752084 3.000000 1 11 1.556013 70.0441
75-83 3.059328 3.000000 1 8 1.429315 72.6087
105-101 2.462471 2.000000 1 9 1.387125 72.6872
131-149 3.908397 4.000000 1 8 1.659810 73.2143
67-137 2.793844 3.000000 1 10 1.528250 73.6607
5-75 3.447861 4.000000 1 8 1.473912 74.8918
63-77 3.284091 3.000000 1 9 1.618072 75.3247
125-119 3.021696 3.000000 1 5 1.310526 75.8929
105-95 1.891221 2.000000 1 6 1.098924 76.5217
1-59 3.513320 4.000000 1 13 1.666928 76.824
83-59 3.434976 4.000000 1 10 1.581761 76.824
11-67 3.494258 4.000000 1 7 1.427569 77.5862
79-59 3.591497 4.000000 1 9 1.596392 78.5408
59-91 2.552632 2.000000 1 8 1.494681 78.6957
27-103 3.185567 3.000000 1 9 1.912142 79.5556
67-143 3.195652 3.000000 1 9 1.603523 80.3571
103-97 2.235294 2.000000 1 5 1.277071 80.4348
87-101 3.542702 3.000000 1 16 2.110505 82.3789
121-119 2.008449 2.000000 1 7 1.152156 82.5893
119-95 3.000000 3.000000 3 3 0.000000 82.6087
149-177 3.154716 3.000000 1 15 1.674105 82.9596
75-1 3.381481 3.000000 1 8 1.490348 83.2618
77-59 3.426854 4.000000 1 11 1.609765 83.2618
59-87 2.796839 3.000000 1 10 1.573286 83.4783
69-79 3.231481 3.000000 1 7 1.495359 83.4783
141-149 2.361045 2.000000 1 8 1.500292 83.4821
75-67 3.332322 4.000000 1 9 1.577642 83.6207
79-83 3.439764 4.000000 1 11 1.597819 83.913
11-5 1.426230 1.000000 1 4 0.745676 84.188
77-69 3.213725 3.000000 1 7 1.442835 84.4156
137-67 2.833504 2.000000 1 16 1.882629 84.4828
83-75 3.641747 4.000000 1 14 1.764987 85.7143
67-75 3.263598 3.000000 1 6 1.411835 86.1472
35-31 3.707965 4.000000 1 8 1.670575 86.7521
119-101 1.982001 2.000000 1 7 1.114584 86.7841
83-77 1.868644 2.000000 1 5 1.067485 87.4459
63-67 3.229642 3.000000 1 12 1.548678 87.5
139-149 2.932489 3.000000 1 9 1.699987 87.9464
9-69 3.380709 4.000000 1 8 1.555467 88.3117
137-131 3.040404 3.000000 1 7 1.469688 88.3929
67-63 3.096269 3.000000 1 8 1.479279 88.8412
63-59 3.400078 4.000000 1 13 1.614153 89.2704
143-149 3.402702 4.000000 1 12 1.715746 89.2857
63-75 3.328947 4.000000 1 8 1.520804 89.6104
7-11 1.747967 1.000000 1 5 0.967719 90.1709
119-99 2.733221 3.000000 1 6 1.176234 90.7895
155-97 1.436000 1.000000 1 5 0.710331 90.8696
63-69 2.961490 3.000000 1 11 1.625369 91.342
7-75 3.074344 3.000000 1 6 1.380417 91.342
1-75 3.328311 4.000000 1 6 1.553663 91.7749
1-63 1.000000 1.000000 1 1 0.000000 92.2747
45-31 3.029062 3.000000 1 7 1.598392 92.3077
5-67 3.558016 4.000000 1 8 1.517830 92.6724
77-63 3.328244 3.000000 1 8 1.505424 92.7039
75-77 3.183518 3.000000 1 8 1.641864 93.0736
77-83 1.852941 2.000000 1 5 1.032768 93.913
121-125 2.318182 2.000000 1 6 1.373826 94.1964
45-123 3.521739 4.000000 1 6 1.505629 94.1964
121-103 2.023913 2.000000 1 5 1.176525 94.2222
51-35 1.907407 1.000000 1 4 1.174868 94.8718
143-139 2.799117 2.000000 1 8 1.717794 95.0893
123-109 2.390126 2.000000 1 8 1.306999 95.1111
69-63 3.124208 3.000000 1 13 1.661505 96.1373
45-27 3.307407 4.000000 1 10 1.598593 96.1538
137-143 1.740545 2.000000 1 5 0.882682 96.4286
35-103 2.987738 3.000000 1 7 1.469439 96.4444
137-133 1.457143 1.000000 1 4 0.778014 96.875
153-155 3.333023 3.000000 1 13 2.062461 96.875
91-101 1.260297 1.000000 1 5 0.560761 97.3568
75-63 3.278313 3.000000 1 8 1.676688 97.4249
31-27 3.310214 3.000000 1 11 1.701946 97.4359
125-109 2.108246 2.000000 1 7 1.175359 97.7778
75-79 2.877018 3.000000 1 9 1.691940 97.8261
121-105 1.748459 1.000000 1 8 1.001416 98.2222
99-101 1.306534 1.000000 1 5 0.607166 98.2379
9-67 3.371715 4.000000 1 11 1.551268 98.2759
45-47 2.498305 2.000000 1 6 1.484096 98.2906
5-11 3.421125 4.000000 1 7 1.485972 98.2906
5-7 1.186441 1.000000 1 4 0.450031 98.2906
149-143 1.389831 1.000000 1 4 0.759504 98.6607
67-69 3.421615 4.000000 1 8 1.575241 98.7013
5-9 3.577869 4.000000 1 7 1.495239 98.7179
9-11 3.273193 4.000000 1 8 1.618896 98.7179
