no CDF_percentage lqi_sorted lqi time_sorted
1321 97.42% 108 108 1078
1322 97.49% 108 107 1079
1323 97.57% 108 107 1079
1324 97.64% 108 107 1081
1325 97.71% 108 107 1082
1326 97.79% 108 107 1083
1327 97.86% 108 107 1083
1328 97.94% 108 107 1084
1329 98.01% 108 107 1085
1330 98.08% 108 108 1085
1331 98.16% 108 108 1086
1332 98.23% 108 106 1087
1333 98.30% 108 106 1087
1334 98.38% 108 106 1088
1335 98.45% 108 107 1089
1336 98.53% 108 105 1090
1337 98.60% 108 106 1091
1338 98.67% 108 107 1091
1339 98.75% 108 105 1092
1340 98.82% 108 105 1093
1341 98.89% 108 106 1095
1342 98.97% 108 107 1095
1343 99.04% 108 108 1096
1344 99.12% 108 105 1097
1345 99.19% 108 107 1098
1346 99.26% 108 106 1099
1347 99.34% 108 107 1100
1348 99.41% 108 106 1101
1349 99.48% 108 108 1101
1350 99.56% 108 107 1102
1351 99.63% 108 106 1103
1352 99.71% 108 108 1103
1353 99.78% 108 106 1104
1354 99.85% 108 105 1105
1355 99.93% 108 107 1105
1356 100.00% 108 106 1106
