# [xData]  <seriesLabel>
0  86.0225532507309
1  9.188361408882082
2  3.007100097452318
3  0.946679660309063
4  0.33412223305025757
5  0.20882639565641098
6  0.15313935681470137
7  0.013921759710427398
8  0.027843519420854796
9  0.041765279131282196
10  0.027843519420854796
11  0.0
12  0.013921759710427398
13  0.0
14  0.0
15  0.0
16  0.0
17  0.0
18  0.0
19  0.0
20  0.0
21  0.0
22  0.0
23  0.013921759710427398
