time	continuous	utility	status	fetch	gps
1185996090	0	0	0	0	0
1185996105	0	0	0	0	0
1185996240	0	0	0	0	0
1186003590	0	0	0.333333333333333	0	0
1186003605	0	0.133333333333333	0.466666666666667	0	0.133333333333333
1186003620	0	0	0.466666666666667	0	0.0666666666666667
1186003635	0	0.266666666666667	0.4	0	0.133333333333333
1186003650	0	0	0.466666666666667	0	0.0666666666666667
1186003665	0	0	0.4	0	0.133333333333333
1186003680	0	0.133333333333333	0.533333333333333	0	0.0666666666666667
1186003695	0	0	0.4	0	0.133333333333333
1186003710	0	0.133333333333333	0.466666666666667	0	0.0666666666666667
1186003725	0	0	0.466666666666667	0	0.133333333333333
1186003740	0	0.266666666666667	0.466666666666667	0	0.0666666666666667
1186003755	0	0	0.333333333333333	0	0.133333333333333
1186003770	0	0	0.466666666666667	11.2	0.0666666666666667
1186003785	0	0.133333333333333	0.4	1.46666666666667	0.133333333333333
1186003800	0	0	0.466666666666667	0	0.0666666666666667
1186003815	0	0.133333333333333	0.466666666666667	0	0.133333333333333
1186003830	0	0	0.4	0	0.0666666666666667
1186003845	0	0.266666666666667	0.533333333333333	0	0.133333333333333
1186003860	2.8	0	0.4	0	0.0666666666666667
1186003875	4.73333333333333	0.133333333333333	0.333333333333333	0	0.133333333333333
1186003890	7.13333333333333	0	0.333333333333333	0	0.0666666666666667
1186003905	6.93333333333333	0	0.533333333333333	0	0.133333333333333
1186003920	7	0.133333333333333	0.4	0	0.0666666666666667
1186003935	6.93333333333333	0	0.466666666666667	0	0.0666666666666667
1186003950	7	0.266666666666667	0.333333333333333	0	0.0666666666666667
1186003965	6.93333333333333	0	0.466666666666667	0	0.133333333333333
1186003980	6.93333333333333	0.133333333333333	0.333333333333333	0	0.0666666666666667
1186003995	5.33333333333333	0	0.6	0	0.133333333333333
1186004010	0	0	0.4	0	0.0666666666666667
1186004025	0	0.133333333333333	0.4	0	0.133333333333333
1186004040	0	0	0.4	0	0.0666666666666667
1186004055	0	0.266666666666667	0.4	0	0.133333333333333
1186004070	0	0	0.466666666666667	0	0.0666666666666667
1186004085	0	0.133333333333333	0.4	0	0.133333333333333
1186004100	0	0	0.533333333333333	0	0.0666666666666667
1186004115	0	0.133333333333333	0.4	0	0.133333333333333
1186004130	0	0	0.4	0	0.0666666666666667
1186004145	0	0.133333333333333	0.4	0	0.133333333333333
1186004160	0	0.133333333333333	0.466666666666667	0	0.0666666666666667
1186004175	0	0	0.333333333333333	1.86666666666667	0.133333333333333
1186004190	0	0.2	0.466666666666667	20.5333333333333	0.0666666666666667
1186004205	0	0	0.266666666666667	20.3333333333333	0.133333333333333
1186004220	0	0	0.333333333333333	20.9333333333333	0.0666666666666667
1186004235	0	0	0.333333333333333	21	0.133333333333333
1186004250	0	0.2	0.4	19.8	0.0666666666666667
1186004265	0	0	0.6	20.4666666666667	0.133333333333333
1186004280	0	0.133333333333333	0.333333333333333	10.9333333333333	0.0666666666666667
1186004295	0	0	0.466666666666667	3.13333333333333	0.133333333333333
1186004310	0	0	0.466666666666667	0	0.0666666666666667
1186004325	0	0.133333333333333	0.4	0	0.133333333333333
1186004340	0	0.133333333333333	0.4	0	0.0666666666666667
1186004355	0	0.133333333333333	0.466666666666667	0	0.133333333333333
1186004370	0	0	0.133333333333333	12.6	0.0666666666666667
1186004385	0	0.133333333333333	0.6	20.8	0.133333333333333
1186004400	0	0	0.266666666666667	20.4	0.0666666666666667
1186004415	0	0	0.466666666666667	20.7333333333333	0.133333333333333
1186004430	0	0.0666666666666667	0.266666666666667	20.6666666666667	0.0666666666666667
1186004445	0	0.133333333333333	0.266666666666667	19.5333333333333	0.133333333333333
1186004460	0	0.133333333333333	0.333333333333333	16.6	0.0666666666666667
1186004475	0	0	0.4	8.06666666666667	0.133333333333333
1186004490	0	0.133333333333333	0.466666666666667	0	0.0666666666666667
1186004505	0	0	0.333333333333333	0	0.133333333333333
1186004520	0	0	0.533333333333333	0	0.0666666666666667
1186004535	0	0.266666666666667	0.533333333333333	0	0.133333333333333
1186004550	0	0	0.466666666666667	0	0.0666666666666667
1186004565	0	0.133333333333333	0.333333333333333	0	0.133333333333333
1186004580	0	0.133333333333333	0.533333333333333	0	0.0666666666666667
1186004595	0	0	0.333333333333333	0	0.133333333333333
1186004610	0	0	0.533333333333333	0	0.0666666666666667
1186004625	0	0	0.333333333333333	0	0.133333333333333
1186004640	0	0.266666666666667	0.4	0	0.0666666666666667
1186004655	0	0	0.333333333333333	0	0.0666666666666667
1186004670	0	0.133333333333333	0.4	0	0.0666666666666667
1186004685	0	0.133333333333333	0.466666666666667	0	0.133333333333333
1186004700	0	0	0.333333333333333	0	0.0666666666666667
1186004715	0	0	0.533333333333333	0	0.133333333333333
1186004730	0	0.133333333333333	0.466666666666667	0	0.0666666666666667
1186004745	0	0.133333333333333	0.4	0	0.133333333333333
1186004760	0	0.133333333333333	0.4	0	0.0666666666666667
1186004775	0	0	0.533333333333333	0	0.133333333333333
1186004790	0	0.2	0.4	0	0.0666666666666667
1186004805	0	0	0.533333333333333	0	0.133333333333333
1186004820	0	0	0.333333333333333	0	0.0666666666666667
1186004835	0	0.133333333333333	0.466666666666667	0	0.133333333333333
1186004850	0	0.133333333333333	0.4	0	0.0666666666666667
1186004865	0	0	0.266666666666667	0	0.0666666666666667
1186004880	0	0.133333333333333	0.466666666666667	0	0.0666666666666667
1186004895	0	0	0.333333333333333	0	0.133333333333333
