2,1,0,0,0,x,x,x,F
2,1,x,x,x,0,0,0,R
3,1,985,104724,108,x,x,x,F
3,1,x,x,x,965,102881,106,R
3,2,0,0,0,x,x,x,F
3,2,x,x,x,0,0,0,R
4,1,0,0,0,x,x,x,F
4,1,x,x,x,0,0,0,R
4,2,972,90089,96,x,x,x,F
4,2,x,x,x,852,84773,97,R
4,3,0,0,0,x,x,x,F
4,3,x,x,x,0,0,0,R
5,1,0,0,0,x,x,x,F
5,1,x,x,x,0,0,0,R
5,2,939,99312,106,x,x,x,F
5,2,x,x,x,997,106165,108,R
5,3,0,0,0,x,x,x,F
5,3,x,x,x,0,0,0,R
5,4,0,0,0,x,x,x,F
5,4,x,x,x,0,0,0,R
6,1,0,0,0,x,x,x,F
6,1,x,x,x,0,0,0,R
6,2,954,98779,104,x,x,x,F
6,2,x,x,x,933,98138,107,R
6,3,0,0,0,x,x,x,F
6,3,x,x,x,0,0,0,R
6,4,0,0,0,x,x,x,F
6,4,x,x,x,0,0,0,R
6,5,1000,106367,107,x,x,x,F
6,5,x,x,x,957,100851,107,R
7,1,0,0,0,x,x,x,F
7,1,x,x,x,0,0,0,R
7,2,0,0,0,x,x,x,F
7,2,x,x,x,0,0,0,R
7,3,0,0,0,x,x,x,F
7,3,x,x,x,0,0,0,R
7,4,137,8853,72,x,x,x,F
7,4,x,x,x,0,0,0,R
7,5,0,0,0,x,x,x,F
7,5,x,x,x,0,0,0,R
7,6,0,0,0,x,x,x,F
7,6,x,x,x,0,0,0,R
8,1,0,0,0,x,x,x,F
8,1,x,x,x,0,0,0,R
8,2,0,0,0,x,x,x,F
8,2,x,x,x,0,0,0,R
8,3,0,0,0,x,x,x,F
8,3,x,x,x,0,0,0,R
8,4,0,0,0,x,x,x,F
8,4,x,x,x,0,0,0,R
8,5,0,0,0,x,x,x,F
8,5,x,x,x,0,0,0,R
8,6,0,0,0,x,x,x,F
8,6,x,x,x,0,0,0,R
8,7,0,0,0,x,x,x,F
8,7,x,x,x,0,0,0,R
9,1,939,96439,104,x,x,x,F
9,1,x,x,x,960,99406,106,R
9,2,1,59,59,x,x,x,F
9,2,x,x,x,0,0,0,R
9,3,0,0,0,x,x,x,F
9,3,x,x,x,0,0,0,R
9,4,0,0,0,x,x,x,F
9,4,x,x,x,0,0,0,R
9,5,224,14888,62,x,x,x,F
9,5,x,x,x,61,3802,74,R
9,6,945,99594,106,x,x,x,F
9,6,x,x,x,981,103535,107,R
9,7,0,0,0,x,x,x,F
9,7,x,x,x,0,0,0,R
9,8,0,0,0,x,x,x,F
9,8,x,x,x,0,0,0,R
10,1,0,0,0,x,x,x,F
10,1,x,x,x,0,0,0,R
10,2,0,0,0,x,x,x,F
10,2,x,x,x,0,0,0,R
10,3,0,0,0,x,x,x,F
10,3,x,x,x,0,0,0,R
10,4,0,0,0,x,x,x,F
10,4,x,x,x,0,0,0,R
10,5,969,86769,86,x,x,x,F
10,5,x,x,x,878,85425,100,R
10,6,0,0,0,x,x,x,F
10,6,x,x,x,0,0,0,R
10,7,0,0,0,x,x,x,F
10,7,x,x,x,0,0,0,R
10,8,0,0,0,x,x,x,F
10,8,x,x,x,0,0,0,R
10,9,0,0,0,x,x,x,F
10,9,x,x,x,0,0,0,R
11,1,991,106168,108,x,x,x,F
11,1,x,x,x,992,106291,104,R
11,2,0,0,0,x,x,x,F
11,2,x,x,x,0,0,0,R
11,3,975,104378,106,x,x,x,F
11,3,x,x,x,0,0,0,R
11,4,0,0,0,x,x,x,F
11,4,x,x,x,0,0,0,R
11,5,0,0,0,x,x,x,F
11,5,x,x,x,0,0,0,R
11,6,0,0,0,x,x,x,F
11,6,x,x,x,0,0,0,R
11,7,0,0,0,x,x,x,F
11,7,x,x,x,0,0,0,R
11,8,0,0,0,x,x,x,F
11,8,x,x,x,0,0,0,R
11,9,0,0,0,x,x,x,F
11,9,x,x,x,0,0,0,R
11,10,0,0,0,x,x,x,F
11,10,x,x,x,0,0,0,R
12,1,0,0,0,x,x,x,F
12,1,x,x,x,0,0,0,R
12,2,0,0,0,x,x,x,F
12,2,x,x,x,146,9491,55,R
12,3,0,0,0,x,x,x,F
12,3,x,x,x,0,0,0,R
12,4,0,0,0,x,x,x,F
12,4,x,x,x,0,0,0,R
12,5,0,0,0,x,x,x,F
12,5,x,x,x,0,0,0,R
12,6,0,0,0,x,x,x,F
12,6,x,x,x,0,0,0,R
12,7,0,0,0,x,x,x,F
12,7,x,x,x,0,0,0,R
12,8,0,0,0,x,x,x,F
12,8,x,x,x,0,0,0,R
12,9,0,0,0,x,x,x,F
12,9,x,x,x,0,0,0,R
12,10,0,0,0,x,x,x,F
12,10,x,x,x,0,0,0,R
12,11,0,0,0,x,x,x,F
12,11,x,x,x,0,0,0,R
13,1,994,105572,106,x,x,x,F
13,1,x,x,x,969,103467,107,R
13,2,0,0,0,x,x,x,F
13,2,x,x,x,0,0,0,R
13,3,966,100956,102,x,x,x,F
13,3,x,x,x,0,0,0,R
13,4,0,0,0,x,x,x,F
13,4,x,x,x,0,0,0,R
13,5,0,0,0,x,x,x,F
13,5,x,x,x,0,0,0,R
13,6,0,0,0,x,x,x,F
13,6,x,x,x,0,0,0,R
13,7,0,0,0,x,x,x,F
13,7,x,x,x,0,0,0,R
13,8,0,0,0,x,x,x,F
13,8,x,x,x,0,0,0,R
13,9,0,0,0,x,x,x,F
13,9,x,x,x,0,0,0,R
13,10,0,0,0,x,x,x,F
13,10,x,x,x,0,0,0,R
13,11,994,104979,107,x,x,x,F
13,11,x,x,x,965,102668,108,R
13,12,0,0,0,x,x,x,F
13,12,x,x,x,0,0,0,R
14,1,0,0,0,x,x,x,F
14,1,x,x,x,0,0,0,R
14,2,0,0,0,x,x,x,F
14,2,x,x,x,0,0,0,R
14,3,0,0,0,x,x,x,F
14,3,x,x,x,0,0,0,R
14,4,0,0,0,x,x,x,F
14,4,x,x,x,0,0,0,R
14,5,0,0,0,x,x,x,F
14,5,x,x,x,0,0,0,R
14,6,0,0,0,x,x,x,F
14,6,x,x,x,0,0,0,R
14,7,0,0,0,x,x,x,F
14,7,x,x,x,0,0,0,R
14,8,993,105873,106,x,x,x,F
14,8,x,x,x,996,106476,108,R
14,9,0,0,0,x,x,x,F
14,9,x,x,x,0,0,0,R
14,10,0,0,0,x,x,x,F
14,10,x,x,x,0,0,0,R
14,11,0,0,0,x,x,x,F
14,11,x,x,x,0,0,0,R
14,12,0,0,0,x,x,x,F
14,12,x,x,x,0,0,0,R
14,13,0,0,0,x,x,x,F
14,13,x,x,x,0,0,0,R
15,1,0,0,0,x,x,x,F
15,1,x,x,x,0,0,0,R
15,2,0,0,0,x,x,x,F
15,2,x,x,x,0,0,0,R
15,3,0,0,0,x,x,x,F
15,3,x,x,x,0,0,0,R
15,4,0,0,0,x,x,x,F
15,4,x,x,x,0,0,0,R
15,5,0,0,0,x,x,x,F
15,5,x,x,x,0,0,0,R
15,6,0,0,0,x,x,x,F
15,6,x,x,x,0,0,0,R
15,7,0,0,0,x,x,x,F
15,7,x,x,x,0,0,0,R
15,8,0,0,0,x,x,x,F
15,8,x,x,x,0,0,0,R
15,9,0,0,0,x,x,x,F
15,9,x,x,x,0,0,0,R
15,10,0,0,0,x,x,x,F
15,10,x,x,x,0,0,0,R
15,11,0,0,0,x,x,x,F
15,11,x,x,x,0,0,0,R
15,12,0,0,0,x,x,x,F
15,12,x,x,x,0,0,0,R
15,13,0,0,0,x,x,x,F
15,13,x,x,x,0,0,0,R
15,14,0,0,0,x,x,x,F
15,14,x,x,x,0,0,0,R
16,1,832,66962,76,x,x,x,F
16,1,x,x,x,719,64283,88,R
16,2,833,67438,82,x,x,x,F
16,2,x,x,x,884,84291,89,R
16,3,0,0,0,x,x,x,F
16,3,x,x,x,0,0,0,R
16,4,0,0,0,x,x,x,F
16,4,x,x,x,0,0,0,R
16,5,986,104056,107,x,x,x,F
16,5,x,x,x,906,95461,106,R
16,6,989,105188,106,x,x,x,F
16,6,x,x,x,974,103477,106,R
16,7,0,0,0,x,x,x,F
16,7,x,x,x,0,0,0,R
16,8,0,0,0,x,x,x,F
16,8,x,x,x,0,0,0,R
16,9,986,105352,107,x,x,x,F
16,9,x,x,x,981,104321,107,R
16,10,0,0,0,x,x,x,F
16,10,x,x,x,0,0,0,R
16,11,0,0,0,x,x,x,F
16,11,x,x,x,0,0,0,R
16,12,0,0,0,x,x,x,F
16,12,x,x,x,0,0,0,R
16,13,0,0,0,x,x,x,F
16,13,x,x,x,0,0,0,R
16,14,0,0,0,x,x,x,F
16,14,x,x,x,0,0,0,R
16,15,0,0,0,x,x,x,F
16,15,x,x,x,0,0,0,R
17,1,0,0,0,x,x,x,F
17,1,x,x,x,0,0,0,R
17,2,0,0,0,x,x,x,F
17,2,x,x,x,0,0,0,R
17,3,0,0,0,x,x,x,F
17,3,x,x,x,0,0,0,R
17,4,0,0,0,x,x,x,F
17,4,x,x,x,0,0,0,R
17,5,0,0,0,x,x,x,F
17,5,x,x,x,0,0,0,R
17,6,0,0,0,x,x,x,F
17,6,x,x,x,0,0,0,R
17,7,0,0,0,x,x,x,F
17,7,x,x,x,0,0,0,R
17,8,0,0,0,x,x,x,F
17,8,x,x,x,0,0,0,R
17,9,0,0,0,x,x,x,F
17,9,x,x,x,0,0,0,R
17,10,0,0,0,x,x,x,F
17,10,x,x,x,0,0,0,R
17,11,0,0,0,x,x,x,F
17,11,x,x,x,0,0,0,R
17,12,0,0,0,x,x,x,F
17,12,x,x,x,0,0,0,R
17,13,0,0,0,x,x,x,F
17,13,x,x,x,0,0,0,R
17,14,0,0,0,x,x,x,F
17,14,x,x,x,0,0,0,R
17,15,981,99552,105,x,x,x,F
17,15,x,x,x,924,76356,91,R
17,16,0,0,0,x,x,x,F
17,16,x,x,x,0,0,0,R
18,1,0,0,0,x,x,x,F
18,1,x,x,x,0,0,0,R
18,2,0,0,0,x,x,x,F
18,2,x,x,x,0,0,0,R
18,3,0,0,0,x,x,x,F
18,3,x,x,x,0,0,0,R
18,4,999,106101,104,x,x,x,F
18,4,x,x,x,993,105664,105,R
18,5,0,0,0,x,x,x,F
18,5,x,x,x,0,0,0,R
18,6,0,0,0,x,x,x,F
18,6,x,x,x,0,0,0,R
18,7,946,90939,99,x,x,x,F
18,7,x,x,x,999,101440,99,R
18,8,0,0,0,x,x,x,F
18,8,x,x,x,0,0,0,R
18,9,0,0,0,x,x,x,F
18,9,x,x,x,0,0,0,R
18,10,0,0,0,x,x,x,F
18,10,x,x,x,0,0,0,R
18,11,0,0,0,x,x,x,F
18,11,x,x,x,0,0,0,R
18,12,0,0,0,x,x,x,F
18,12,x,x,x,0,0,0,R
18,13,0,0,0,x,x,x,F
18,13,x,x,x,0,0,0,R
18,14,0,0,0,x,x,x,F
18,14,x,x,x,0,0,0,R
18,15,0,0,0,x,x,x,F
18,15,x,x,x,0,0,0,R
18,16,0,0,0,x,x,x,F
18,16,x,x,x,0,0,0,R
18,17,0,0,0,x,x,x,F
18,17,x,x,x,0,0,0,R
19,1,0,0,0,x,x,x,F
19,1,x,x,x,0,0,0,R
19,2,0,0,0,x,x,x,F
19,2,x,x,x,105,6894,76,R
19,3,0,0,0,x,x,x,F
19,3,x,x,x,0,0,0,R
19,4,931,93627,101,x,x,x,F
19,4,x,x,x,991,103190,107,R
19,5,0,0,0,x,x,x,F
19,5,x,x,x,0,0,0,R
19,6,0,0,0,x,x,x,F
19,6,x,x,x,0,0,0,R
19,7,214,14174,65,x,x,x,F
19,7,x,x,x,985,89787,92,R
19,8,0,0,0,x,x,x,F
19,8,x,x,x,0,0,0,R
19,9,0,0,0,x,x,x,F
19,9,x,x,x,0,0,0,R
19,10,0,0,0,x,x,x,F
19,10,x,x,x,0,0,0,R
19,11,0,0,0,x,x,x,F
19,11,x,x,x,0,0,0,R
19,12,984,105556,107,x,x,x,F
19,12,x,x,x,966,103086,108,R
19,13,0,0,0,x,x,x,F
19,13,x,x,x,0,0,0,R
19,14,0,0,0,x,x,x,F
19,14,x,x,x,0,0,0,R
19,15,0,0,0,x,x,x,F
19,15,x,x,x,0,0,0,R
19,16,0,0,0,x,x,x,F
19,16,x,x,x,0,0,0,R
19,17,0,0,0,x,x,x,F
19,17,x,x,x,0,0,0,R
19,18,0,0,0,x,x,x,F
19,18,x,x,x,0,0,0,R
20,1,0,0,0,x,x,x,F
20,1,x,x,x,0,0,0,R
20,2,952,101188,107,x,x,x,F
20,2,x,x,x,996,105344,106,R
