Loading depthlist /home/mdw/src/tinyos/volcano2007/data/generated/depthlist.dat...
Depthlist opened, 9846 entries
DOWNLOAD: node 103 dltime 146.130010
DOWNLOAD: node 100 dltime 98.744571
DOWNLOAD: node 103 dltime 144.007546
DOWNLOAD: node 100 dltime 98.396572
DOWNLOAD: node 103 dltime 147.045887
DOWNLOAD: node 103 dltime 139.454995
DOWNLOAD: node 103 dltime 130.146119
DOWNLOAD: node 103 dltime 134.009102
DOWNLOAD: node 103 dltime 138.807265
DOWNLOAD: node 103 dltime 147.104137
DOWNLOAD: node 103 dltime 148.428635
DOWNLOAD: node 100 dltime 101.968525
DOWNLOAD: node 103 dltime 138.583177
DOWNLOAD: node 103 dltime 150.954260
DOWNLOAD: node 103 dltime 145.425501
DOWNLOAD: node 103 dltime 123.491594
DOWNLOAD: node 103 dltime 133.505072
DOWNLOAD: node 103 dltime 129.150793
DOWNLOAD: node 103 dltime 129.282395
DOWNLOAD: node 103 dltime 145.982163
DOWNLOAD: node 103 dltime 132.565290
DOWNLOAD: node 103 dltime 128.570830
DOWNLOAD: node 103 dltime 143.607648
DOWNLOAD: node 103 dltime 141.760432
DOWNLOAD: node 103 dltime 131.514537
DOWNLOAD: node 103 dltime 148.807176
DOWNLOAD: node 103 dltime 134.359774
DOWNLOAD: node 103 dltime 138.068872
DOWNLOAD: node 103 dltime 124.389090
DOWNLOAD: node 103 dltime 157.956663
DOWNLOAD: node 103 dltime 152.918406
DOWNLOAD: node 103 dltime 134.672161
DOWNLOAD: node 103 dltime 138.615329
DOWNLOAD: node 103 dltime 164.114341
DOWNLOAD: node 103 dltime 128.031981
DOWNLOAD: node 103 dltime 137.710738
DOWNLOAD: node 103 dltime 156.351701
DOWNLOAD: node 103 dltime 126.567897
DOWNLOAD: node 100 dltime 99.969554
DOWNLOAD: node 103 dltime 134.169038
DOWNLOAD: node 103 dltime 128.987334
DOWNLOAD: node 105 dltime 137.845328
DOWNLOAD: node 103 dltime 141.372991
DOWNLOAD: node 103 dltime 129.754153
DOWNLOAD: node 103 dltime 147.159702
DOWNLOAD: node 103 dltime 149.066421
DOWNLOAD: node 103 dltime 144.343626
DOWNLOAD: node 103 dltime 129.025601
DOWNLOAD: node 103 dltime 144.680170
DOWNLOAD: node 103 dltime 143.637104
DOWNLOAD: node 103 dltime 134.671267
DOWNLOAD: node 103 dltime 132.552960
DOWNLOAD: node 103 dltime 135.991589
DOWNLOAD: node 103 dltime 146.300576
DOWNLOAD: node 103 dltime 151.119905
DOWNLOAD: node 103 dltime 139.567381
DOWNLOAD: node 100 dltime 98.692520
DOWNLOAD: node 103 dltime 128.341653
DOWNLOAD: node 103 dltime 148.579836
DOWNLOAD: node 103 dltime 140.770358
DOWNLOAD: node 103 dltime 151.702196
DOWNLOAD: node 103 dltime 148.963289
DOWNLOAD: node 103 dltime 149.056227
DOWNLOAD: node 100 dltime 100.196899
DOWNLOAD: node 103 dltime 128.534915
DOWNLOAD: node 103 dltime 133.682153
DOWNLOAD: node 103 dltime 136.608875
DOWNLOAD: node 103 dltime 132.466752
DOWNLOAD: node 103 dltime 137.130136
DOWNLOAD: node 103 dltime 146.306104
DOWNLOAD: node 103 dltime 121.898263
DOWNLOAD: node 103 dltime 146.856877
DOWNLOAD: node 103 dltime 133.538274
DOWNLOAD: node 100 dltime 103.195489
DOWNLOAD: node 103 dltime 132.408685
DOWNLOAD: node 103 dltime 134.483123
DOWNLOAD: node 103 dltime 139.298591
DOWNLOAD: node 103 dltime 131.754951
DOWNLOAD: node 103 dltime 137.881311
DOWNLOAD: node 103 dltime 152.065373
