#time flow_seqno path
 #This first chunk is just fully-observed routes, the chunk after the next commented line
 #contains routes with inferred packets, and then the chunk
 #after the last commented line are the scores (for the bottom half of the figure).
 #These are grouped this way for greater ease in formatting
 #the various data-groups.
 51864 9336.937 13
 51866 9336.977 13
 51869 9336.766 13
 51870 9337.718 13
 51871 9337.708 13
 51873 9337.738 13
 51876 9337.748 13
 51877 9338.760 13
 51878 9338.680 13
 51880 9338.700 13
 51882 9338.750 13
 51884 9339.741 13
 51885 9339.661 13
 51886 9339.681 13
 51888 9339.701 13
 51913 9343.600 13
 51939 9347.542 13
 51940 9347.545 13
 51964 9351.490 13
 51965 9351.493 13
 51967 9351.498 13
 51969 9352.435 13
 51975 9353.446 13
 51978 9353.452 13
 51980 9353.457 13
 51981 9354.420 13
 51982 9354.423 13
 51985 9354.429 13
 51987 9355.425 13
 51999 9357.447 13
 52003 9357.457 13
 52011 9359.389 13
 52014 9359.395 13
 52020 9360.365 13
 52022 9360.371 13
 52053 9366.226 13
 52058 9366.379 13
 52059 9367.191 13
 52061 9367.286 13
 52063 9367.292 13
 52064 9367.294 13
 52065 9368.177 13
 52070 9368.240 13
 52071 9369.183 13
 52075 9369.224 13
 52077 9370.204 13
 52078 9370.207 13
 52079 9370.209 13
 52080 9370.212 13
 52082 9370.215 13
 52083 9371.113 13
 52085 9371.115 13
 52089 9372.117 13
 52090 9372.120 13
 52091 9372.122 13
 52095 9373.112 13
 52096 9373.115 13
 52097 9373.118 13
 52098 9373.120 13
 52100 9373.123 13
 52102 9374.094 13
 52106 9374.130 13
 52111 9375.068 13
 52112 9375.116 13
 52113 9376.013 13
 52119 9377.057 13
 52120 9377.060 13
 52124 9377.066 13
 52147 9386.508 13
 52150 9389.453 13
 52152 9391.385 13
 52166 9405.155 13
 
 
 #time flow_seqno path
 #This is the group of routes that we only inferred but did not observe in full
 49810 8195.350 11
 49811 8196.317 6
 49812 8197.278 6
 49814 8199.231 6
 49815 8200.197 6
 49816 8201.184 6
 49817 8202.198 6
