#time flow_seqno path
 #This first chunk is just observed packets, the chunk after the next commented line
 #contains just inferred packets, and then the chunk
 #after the last commented line are the scores.
 #These are grouped this way for greater ease in formatting
 #the various data-groups.
 51866 9336.977 14
 51871 9337.708 14
 51870 9337.718 14
 51873 9337.738 14
 51876 9337.748 14
 51878 9338.680 14
 51880 9338.700 14
 51882 9338.750 14
 51877 9338.760 14
 51885 9339.661 14
 51886 9339.681 14
 51888 9339.701 14
 51884 9339.741 14
 51913 9343.600 14
 51939 9347.542 14
 51940 9347.545 14
 51964 9351.490 14
 51965 9351.493 14
 51967 9351.498 14
 51969 9352.435 14
 51975 9353.446 14
 51978 9353.452 14
 51980 9353.457 14
 51981 9354.420 14
 51982 9354.423 14
 51985 9354.429 14
 51987 9355.425 14
 51999 9357.447 14
 52003 9357.457 14
 52011 9359.389 14
 52014 9359.395 14
 52020 9360.365 14
 52022 9360.371 14
 52053 9366.226 14
 52058 9366.379 14
 52059 9367.191 14
 52061 9367.286 14
 52063 9367.292 14
 52064 9367.294 14
 52065 9368.177 14
 52070 9368.240 14
 52071 9369.183 14
 52075 9369.224 14
 52077 9370.204 14
 52078 9370.207 14
 52079 9370.209 14
 52080 9370.212 14
 52082 9370.215 14
 52083 9371.113 14
 52085 9371.115 14
 52089 9372.117 14
 52090 9372.120 14
 52091 9372.122 14
 52095 9373.112 14
 52096 9373.115 14
 52097 9373.118 14
 52098 9373.120 14
 52100 9373.123 14
 52102 9374.094 14
 52106 9374.130 14
 52111 9375.068 14
 52112 9375.116 14
 52113 9376.013 14
 52119 9377.057 14
 52120 9377.060 14
 52124 9377.066 14
 52147 9386.508 14
 52150 9389.453 14
 52152 9391.385 14
 52166 9405.155 14
 
 
 #time flow_seqno path
 #This is the group of routes that we only inferred but did not observe in full
 51062 -3.000 13
 51063 -3.000 13
 49810 8195.350 10
 49811 8196.317 10
 49812 8197.278 10
 49814 8199.231 10
 49815 8200.197 10
 49816 8201.184 10
 49817 8202.198 10
 49818 8203.147 10
 49819 8204.128 10
 49820 8205.094 2
 49821 8206.046 2
 49822 8207.036 2
 49823 8208.017 2
 49828 8212.895 14
 49831 8215.819 14
 49839 8223.710 14
 49842 8225.609 14
 49844 8226.580 14
 49859 8234.478 14
 49860 8234.481 14
 49862 8235.423 14
 49861 8235.457 14
 49864 8236.394 14
 49863 8236.419 14
 49866 8237.376 14
 49865 8237.390 14
 49869 8239.354 14
 49870 8239.357 14
 49875 8242.242 14
 49876 8242.244 14
 49880 8244.226 14
 49879 8244.230 14
 49881 8245.261 14
 49882 8245.264 14
 49885 8247.179 14
 49887 8248.183 14
 49888 8248.222 14
 49897 8253.079 14
 49901 8255.002 14
 49903 8256.948 14
 49904 8257.996 14
 49908 8260.934 14
 49909 8261.864 14
 49910 8261.901 14
 49912 8262.843 14
 49911 8262.867 14
 49924 8268.735 14
 49926 8269.704 14
 49925 8269.717 14
 49942 8277.864 14
 49952 8282.466 14
 49956 8285.450 14
 49957 8286.405 14
 49958 8287.392 14
 49961 8290.372 14
 49966 8295.290 14
 49967 8296.217 14
 49968 8296.220 14
 49969 8297.209 14
 49971 8298.169 14
 49976 8300.186 14
 49979 8302.088 14
 49980 8302.119 14
 49995 8309.990 14
 49996 8310.000 14
 49997 8310.966 14
 50011 8317.785 14
 50039 8331.524 14
 50040 8331.527 14
 50042 8332.494 14
 50041 8332.527 14
 50044 8333.466 14
 50043 8333.478 14
 50047 8335.447 14
 50048 8335.450 14
 50050 8336.404 14
 50059 8341.374 14
 50060 8341.496 14
 50062 8342.351 14
 50064 8343.302 14
 50063 8343.322 14
 50068 8345.235 14
 50069 8346.270 14
 50076 8349.208 14
 50082 8352.210 14
 50087 8355.053 14
 50089 8356.031 14
 50092 8357.041 14
 50095 8358.975 14
 50098 8360.012 14
 50099 8361.014 14
 50103 8362.851 14
 50105 8363.898 14
 50107 8364.876 14
 50108 8364.890 14
 50110 8365.788 14
 50113 8367.844 14
 50118 8369.686 14
 50117 8369.710 14
 50119 8370.689 14
 50120 8370.692 14
 50121 8371.679 14
 50122 8371.679 14
 50125 8373.672 14
 50126 8373.672 14
 50127 8374.637 14
 50130 8375.647 14
 50132 8376.578 14
 50131 8376.600 14
 50134 8377.502 14
 50133 8377.522 14
 50135 8378.569 14
 50159 8390.319 9
 50160 8390.330 9
 50162 8391.342 9
 50165 8393.310 9
 50166 8393.475 9
 50167 8394.257 9
 50169 8395.874 9
 50170 8395.874 9
 50171 8396.255 9
 50172 8396.264 9
 50173 8397.236 9
 50174 8397.239 9
 50175 8398.204 9
 50176 8399.202 9
 50179 8402.120 9
 50181 8404.115 9
 50182 8405.110 9
 50186 8409.095 9
 50187 8410.047 9
 50188 8410.974 9
 50189 8411.963 9
 50193 8498.294 14
 50195 8500.238 14
 50208 8513.027 14
