# <moteNbr>, <avgReceptionRation>, <avgHopCount>
    1    0.75    5.24
    2    0.80    2.03
    3    0.90    3.09
    4    0.88    5.28
    5    0.75    3.04
    6    0.86    1.20


    1    0.95    2.14
    2    0.65    5.66
    3    0.94    2.17
    4    0.97    1.03
    5    0.96    2.52
    6    0.53    4.71


    1    0.83    4.97
    2    0.78    3.75
    3    0.92    2.91
    4    0.90    5.14
    5    0.78    2.85
    6    0.86    2.96
