#time flow_seqno path
#This first chunk is just fully-observed routes, the chunk after the next commented line
#contains routes with inferred packets, and then the chunk
#after the last commented line are the scores (for the bottom half of the figure).
#These are grouped this way for greater ease in formatting
#the various data-groups.
57603 384.000 3
57605 385.000 3
57606 385.031 3
57607 385.969 3
57608 386.250 3
57609 386.938 3
57610 387.812 3
57611 387.938 3
57612 388.094 3
57613 388.906 3
57614 389.875 3
57615 390.625 3
57616 391.188 3
57617 390.875 3
57618 391.500 3
57619 391.844 3
57620 392.781 3
57621 392.844 3
57622 393.906 3
57623 393.906 3
57624 394.281 3
57625 395.062 3
57626 395.812 3
57627 395.750 3
57628 396.688 3
57629 396.750 3
57630 397.125 3
57631 397.719 3
57632 398.719 3
57633 399.188 3
57634 399.562 3
57635 399.688 3
57636 400.594 3
57637 400.656 3
57638 400.906 3
57639 401.656 3
57640 401.812 3
57641 403.594 3
57642 403.625 3
57643 404.375 3
57644 404.594 3
57645 404.656 3
57646 404.688 3
57647 405.562 3
57648 405.656 3
57649 406.531 3
57651 407.531 3
57652 408.750 3
57653 408.875 3
57654 408.938 3
57655 409.469 3
57656 409.750 3
57657 410.469 3
57658 410.781 3
57659 411.438 3
57660 411.875 3
57661 412.438 3
57662 413.469 3
57663 413.688 3
57664 414.438 3
57665 414.844 3
57666 415.375 3
57667 416.625 3
57668 416.719 3
57669 416.750 3
57671 417.375 3
57672 417.406 3
57673 418.312 3
57674 418.531 3
57675 419.469 3
57676 420.281 3
57677 421.438 3
57678 422.219 3
57679 422.219 3
57680 422.250 3
57681 422.375 3
57682 422.438 3
57683 423.656 3
57684 423.719 3
57685 424.594 3
57686 424.875 3
57687 425.156 3
57688 425.188 3
57689 426.125 3
57690 426.438 3
57691 427.125 3
57692 427.406 3
57693 428.406 3
57694 428.406 3
57695 429.062 3
57697 430.062 3
57699 431.031 3
57700 431.312 3
57701 432.031 3
57702 432.062 3
57703 433.000 3
57705 433.969 3
57706 434.000 3
57707 434.969 3
57708 435.281 3
57709 435.938 3
57710 436.312 3
57711 436.906 3
57712 436.938 3
57713 437.906 3
57714 438.156 3
57715 438.875 3
57716 439.156 3
57717 439.844 3
57718 440.844 3
57720 441.656 3
57721 441.812 3
57722 441.875 3
57723 442.812 3
57724 443.781 3
57725 444.000 3
57726 443.844 3
57727 444.750 3
57728 444.781 3
57729 445.750 3
57730 446.031 3
57731 446.719 3
57732 447.250 3
57733 447.688 3
57734 447.812 3
57735 448.688 3
57736 448.688 3
57737 449.656 3
57738 449.688 3
57739 450.656 3
57740 450.656 3
57741 451.594 3
57743 452.594 3
57745 453.562 3
57746 454.125 3
57747 454.750 3
57748 455.062 3
57749 455.531 3
57750 455.562 3
57751 456.531 3
57752 456.719 3
57753 457.750 3
57754 458.562 3
57755 458.469 3
57757 459.438 3
57758 460.000 3
57759 460.438 3
57760 461.219 3
57761 461.406 3
57762 461.469 3
57763 462.375 3
57764 462.688 3
57765 463.375 3
57766 463.812 3
57767 464.344 3
57769 465.312 3
57770 465.625 3
57771 466.312 3
57772 466.594 3
57773 467.281 3
57774 467.562 3
57775 468.250 3
57776 468.594 3
57777 469.250 3
57778 469.312 3
57779 470.250 3
57780 470.531 3
57781 471.219 3
57782 471.219 3
57783 472.188 3
57784 472.219 3
57785 473.156 3
57786 473.750 3
57787 474.125 3
57788 474.969 3
57789 475.125 3
57790 476.094 3
57791 477.344 3
57792 476.469 3
57793 477.719 3
